id,business_name,email,phone,website,city,state,address,google_rating,google_review_count,trust_score
313,"1UP Construction, LLC",contact@1upconstructionllc.com,(682) 777-1556,https://1upconstructionllc.com/,Arlington,TX,"130 E Bardin Rd #142, Arlington, TX 76018, United States",4.9,36,0
992,360 Innovations Roofing | Richardson TX Roofing Pros,360roofco@gmail.com,(214) 402-6943,https://www.mydfwroofing.com/,Richardson,TX,"1110 West Shore Dr Suite 400, Richardson, TX 75080, United States",4.7,59,0
1161,3G Roofing & Construction,info@3g-roofing.com,(817) 939-8524,http://www.3g-roofing.com/,The Colony,TX,"6805 Main St ste 430-620, The Colony, TX 75056, United States",5,12,0
1353,4 U Roofing and Construction,damasio@4uroofing.us,(469) 620-0010,https://www.4uroofing.us/,Cedar Hill,TX,"610 Uptown Blvd ste 2000, Cedar Hill, TX 75104, United States",5,65,0
1373,4 U Roofing and Construction,damasio@4uroofing.us,(469) 620-0010,https://www.4uroofing.us/contact,Lancaster,TX,"226 Yale Blvd, Glenn Heights, TX 75154, United States",5,36,0
1244,5 Star Texas Roofing,filler@godaddy.comhomeabout,(817) 771-1445,https://www.5startexasroofing.com/,Saginaw,TX,"1001 Kennedy Ln #310, Saginaw, TX 76131, United States",5,27,0
909,5P Roofing & Construction,webmaster@5proofing.com,(817) 964-2528,https://5proofing.com/,Cleburne,TX,"11983 FM2331 ste 110, Godley, TX 76044, United States",4.9,47,0
1094,99 Roofing LLC,jeff@99roofing.com,(214) 546-0423,http://www.99roofing.com/,Prosper,TX,"15936 Alvarado Dr, Prosper, TX 75078, United States",5,28,0
703,A & M Pool Service & Repair,info@ampoolservicerepair.com,(214) 399-7347,http://ampoolservicerepair.com/?utm_source=gmb&utm_medium=referral,Waxahachie,TX,"1210 N Creek Cir, Waxahachie, TX 75165, United States",4.8,42,0
620,A Better Pool Service,service@abetterpoolservice.com,(214) 347-8016,http://www.abetterpoolservice.com/,Allen,TX,"610 E Main St #405, Allen, TX 75002, United States",4.4,38,0
1480,A Plus Home Improvement LLC,info@ahomeimprovement.com,(918) 289-8283,http://ahomeimprovement.com/,Prosper,TX,"1990 Cornell Dr, Prosper, TX 75078, United States",4.6,10,0
299,A Star Roofing of Texas,asroftx@gmail.com,(469) 344-0020,https://www.astarroofingoftexas.com/,North Richland Hills,TX,"7601 Circle Dr, Fort Worth, TX 76180, United States",5,66,0
501,A Veterans Pool Company Wylie,bigsarge@aveteranspoolcompany.com,(469) 981-7665,https://aveteranspoolcompany.com/wylie/,Wylie,TX,"1908 Edward Dr, Wylie, TX 75098, United States",4.6,11,0
950,"A and E Roofing & Remodel LLC, Grand Praire TX",info@aeroofremodel.com,(469) 371-9525,https://aeroofremodel.com/,Grand Prairie,TX,"2202 113th St, Grand Prairie, TX 75050, United States",5,4,0
720,A&O Texas Solutions Corporate Offices,fencing@aotexassolutions.com,(817) 287-9853,https://www.aotexassolutions.com/,Arlington,TX,"5312 Park Springs Blvd Ste 140, Arlington, TX 76017, United States",5,1,0
227,A&O Texas Solutions Fence and Patio DFW,fencing@aotexassolutions.com,(817) 287-9853,https://aotexassolutions.com/,Arlington,TX,"7407 Commercial Blvd E, Arlington, TX 76001, United States",4.7,261,0
1495,A&W Construction,contact@hello.com,(817) 992-7766,https://awremodel.com/,Hurst,TX,"634 W Bedford Euless Rd Suite F, Hurst, TX 76053, United States",5,3,0
1383,A+ Blinds,info@aplusblinds.net,(817) 726-9517,http://www.aplusblindsdfw.com/,Grand Prairie,TX,"5020 Judy Dr, Midlothian, TX 76065, United States",4.9,36,0
236,ABP Construction,eric@abpconstructionllc.com,(817) 504-6341,http://abpconstructionllc.com/,Fort Worth,TX,"6850 Manhattan Blvd Suite 205-7, Fort Worth, TX 76120, United States",4.8,203,0
671,ACF Tarp & Awning,sales@acfdfw.com,(817) 478-1800,http://www.acfdfw.com/,White Settlement,TX,"5960 E Loop 820 S, Fort Worth, TX 76119, United States",5,98,0
