lead_id,property_id,lead_type,lead_subtypes,tier,score,freshness_tier,days_since_permit,permit_date,is_high_contrast,contrast_ratio,is_absentee,status,created_at
6abe65e1,"5429 HUNTLY DR, Fort Worth TX 76109",pool,,A,95.0,hot,1,2025-12-01,1,1.8417601054654602,1,new,2025-12-05 23:32:04.178365
0d85fdc6,"1120 PEBBLE CREEK RD, Fort Worth TX 76107",residential accessory new,,A,92.0,warm,18,2025-11-14,1,4.758388190954774,1,new,2025-12-05 23:32:07.050869
3d437ea4,"2741 AVE I, FORT WORTH TEXAS 76105",residential accessory new,,A,90.0,hot,14,2025-11-18,1,15.108095238095238,1,new,2025-12-05 23:32:06.979804
a6b62736,"8941 RANDOM RD, Fort Worth TX 76179",residential accessory new,,A,90.0,hot,1,2025-12-01,1,2.4062032232642028,1,new,2025-12-05 23:32:04.236558
b215957f,"2908 RIVER PINE LN, Fort Worth TX 76116",residential accessory new,,A,90.0,hot,1,2025-12-01,1,2.4061857132723277,1,new,2025-12-05 23:32:04.206337
8cf216ad,"3621 RIDGLEA COUNTRY CLUB DR, Fort Worth TX 76116",pool,,A,87.0,cool,47,2025-10-16,1,1.9914081010144002,1,new,2025-12-05 23:32:08.234576
5e07693c,"701 E ARLINGTON AVE, Fort Worth TX 76104",residential accessory new,,A,87.0,warm,22,2025-11-10,1,2.0,1,new,2025-12-05 23:32:07.334428
cea89cb8,"10221 E RANCHO DIEGO LN, Fort Worth TX 76036",residential accessory new,,A,87.0,warm,18,2025-11-14,1,2.155359785892419,1,new,2025-12-05 23:32:07.126239
8e4024a0,"3509 PARK HOLLOW, Fort Worth TX 76109",pool,,A,85.0,hot,8,2025-11-24,1,1.2810774992730714,1,new,2025-12-05 23:32:06.701480
89a8e7a6,"2101 MC KENZIE ST, UNIT Lot B, Fort Worth TX 76105",residential new,,A,85.0,hot,7,2025-11-25,1,1.7497142857142858,1,new,2025-12-05 23:32:04.575084
28640f17,"5672 POSADA DR, Fort Worth TX 76036",residential accessory new,,A,83.0,moderate,40,2025-10-23,1,2.608356481012145,1,new,2025-12-05 23:32:07.931907
1945fec6,"5300 PINSON ST, Fort Worth TX 76105",residential accessory new,,A,83.0,moderate,34,2025-10-29,1,2.7344285714285714,1,new,2025-12-05 23:32:07.748060
0493544f,"1400 FAIRMOUNT AVE, Fort Worth TX 76104",residential accessory new,,A,83.0,moderate,32,2025-10-31,1,30.800333333333334,1,new,2025-12-05 23:32:07.643450
b8aaf010,"7104 TALON BLUFF DR, Fort Worth TX 76179",pool,,A,82.0,warm,22,2025-11-10,1,1.3978091958765069,1,new,2025-12-05 23:32:07.307181
b69fa44d,"4800 WINTHROP AVE W, Fort Worth TX 76116",residential accessory new,,A,82.0,warm,20,2025-11-12,1,1.9408384762715472,1,new,2025-12-05 23:32:07.198906
1247175f,"508 LUXTON ST, Fort Worth TX 76104 United States",residential remodel,,A,82.0,hot,12,2025-11-20,1,13.333333333333334,1,new,2025-12-05 23:32:06.964929
d472ea00,"6237 KENWICK AVE, Fort Worth TX 76116",residential addition,,A,82.0,warm,28,2025-11-04,1,3.1044789671561324,1,new,2025-12-05 23:32:05.171948
bcbddb9c,"9600 MONTMARIE PL, Fort Worth TX 76126",residential new,,A,82.0,hot,13,2025-11-19,1,1.47236090777515,1,new,2025-12-05 23:32:04.791885
1a6110a2,"2333 GLENCREST DR, Fort Worth TX 76119",residential accessory new,,A,82.0,hot,11,2025-11-21,1,1.5444433167563179,1,new,2025-12-05 23:32:04.291297
c41e8e3d,"1000 E JEFFERSON AVE, Fort Worth TX 76104",residential remodel,,A,80.0,hot,12,2025-11-20,1,12.751777777777777,1,new,2025-12-05 23:32:10.353338
81c7aecb,"3035 ALCANNON ST, Fort Worth TX 76119",residential remodel,,A,80.0,hot,8,2025-11-24,1,2.4293616157515476,1,new,2025-12-05 23:32:09.936855
17d4123a,"4462 ROLLING HILLS DR, Fort Worth TX 76119",residential remodel,,A,80.0,hot,8,2025-11-24,1,2.534334720389729,1,new,2025-12-05 23:32:09.878889
7a52cdd5,"10249 E RANCHO DIEGO LN, Fort Worth TX 76036",residential remodel,,A,80.0,hot,7,2025-11-25,1,2.0616268932097888,1,new,2025-12-05 23:32:09.765553
5a8a3b4e,"3625 AVE N, Fort Worth TX 76105",residential remodel,,A,80.0,hot,7,2025-11-25,1,7.568952380952381,1,new,2025-12-05 23:32:09.620245
59200f04,"6025 MCKASKLE DR, Fort Worth TX 76119",residential remodel,,A,80.0,hot,6,2025-11-26,1,2.269430630264894,1,new,2025-12-05 23:32:09.491113
8bdae8f1,"1325 E RAMSEY AVE, Fort Worth TX 76104",residential remodel,,A,80.0,hot,1,2025-12-01,1,3.5000555555555555,1,new,2025-12-05 23:32:09.148155
a327c02f,"4329 LORIN AVE, Fort Worth TX 76105",residential remodel,,A,80.0,hot,1,2025-12-01,1,4.221809523809524,1,new,2025-12-05 23:32:09.117238
13f64eb2,"4812 RICHARDSON ST, Fort Worth TX 76119",residential accessory new,,A,80.0,cool,55,2025-10-08,1,2.4334821881660407,1,new,2025-12-05 23:32:08.603100
3339eede,"3917 LYNNCREST DR, Fort Worth TX 76109",pool,,A,80.0,cool,53,2025-10-10,1,1.720301058477493,1,new,2025-12-05 23:32:08.479934
65098dc3,"5212 DUNBAR ST, Fort Worth TX 76105",residential accessory new,,A,80.0,cool,51,2025-10-12,1,15.221095238095238,1,new,2025-12-05 23:32:08.465922
